,reccomendation,reccomendation_code
0,Alberta Martin,427
1,Vincent Murphy,14
2,Haris Evans,77
3,Belinda Barrett,217
4,Ned Moore,353
5,Kelsey Cameron,57
6,Arianna Phillips,252
7,Amber Hunt,343
8,Alexia Gibson,398
9,Spike Thomas,153
10,Catherine Ellis,251
11,Dominik Nelson,44
12,Sam Johnston,120
13,Dexter Harris,131
14,Olivia Wells,133
15,Emily Jones,395
16,Reid Morris,30
17,Lucas Cole,2
18,Alissa Crawford,104
19,Lily Williams,177
20,Florrie Hunt,164
21,Joyce Morrison,37
22,Eric Armstrong,86
23,Isabella Craig,145
24,Dominik Moore,146
25,Sydney Murray,405
26,Lily Cameron,94
27,Leonardo Hall,264
28,Kelsey Alexander,284
29,Nicholas Spencer,452
30,Belinda Cole,273
31,Chloe Murphy,10
32,Blake Fowler,56
33,Carl Campbell,242
34,Jared Andrews,362
35,Adam Elliott,447
36,Julia Lloyd,39
37,Audrey Baker,123
38,Ted Douglas,137
39,Sawyer Evans,244
40,Stuart Campbell,209
41,Sofia Fowler,23
42,Cherry Murray,95
43,Ashton Roberts,212
44,Rubie Mitchell,438
45,Charlotte Higgins,8
46,David Alexander,15
47,Edgar Hall,41
48,John Jones,66
49,Madaline Phillips,119
50,Tyler Barnes,136
51,Dexter Henderson,156
52,John Ferguson,176
53,Walter Ferguson,195
54,Jared Morgan,267
55,Bruce Rogers,338
56,Mary Brown,355
57,Dominik Morris,361
58,Henry Chapman,433
59,Maximilian Douglas,449
60,Vincent Kelley,70
61,Cherry Fowler,143
62,Alexia Warren,327
63,Lydia Craig,0
64,Maria Douglas,67
65,Adrianna Williams,170
66,Ned Baker,224
67,Justin Farrell,228
68,Aldus Morgan,410
69,Audrey Edwards,268
70,Madaline Wright,33
71,Chelsea Morris,109
72,Deanna Turner,125
73,Amy Kelly,135
74,Aston Walker,162
75,Heather Hunt,226
76,April Johnson,331
77,Catherine Cameron,386
78,Heather Murray,84
79,Henry Armstrong,372
80,Emily Wilson,114
81,Jared Walker,184
82,Spike Campbell,223
83,Owen Richardson,38
84,Samantha Casey,61
85,Ryan Barrett,188
86,Madaline Crawford,455
87,Lucas Henderson,108
88,Richard Williams,454
89,Daniel Murphy,83
90,Dale Watson,434
91,Clark Watson,89
92,Carina Wilson,129
93,Vincent Martin,151
94,Arnold Williams,256
95,Dainton Carroll,442
96,Nicole Rogers,286
97,Tara Robinson,20
98,Camila Bailey,298
99,Steven Craig,320
100,Leonardo Evans,101
101,Aiden Cunningham,3
102,Albert Armstrong,18
103,Audrey Montgomery,105
104,Alberta Chapman,190
105,Dominik Smith,234
106,Samantha Sullivan,371
107,Paul Perry,42
108,Camila Perry,205
109,Arnold Dixon,239
110,Carina Harrison,257
111,Vivian Ross,312
112,Maddie Payne,324
113,Nicole Holmes,269
114,Ryan Henderson,280
115,Richard Richardson,403
116,James Morgan,139
117,Rebecca Payne,441
118,Owen Payne,388
119,Grace Murphy,436
120,Andrew Spencer,16
121,Jordan Robinson,27
122,Adison Howard,65
123,Carina Barrett,92
124,Maria Morgan,174
125,Garry Wilson,246
126,Lana Cunningham,262
127,David Scott,263
128,Lenny Robinson,317
129,Maria Moore,333
130,Lenny Richardson,340
131,Lyndon Foster,344
132,Sophia Bailey,451
133,Arthur Hamilton,124
134,Lana Lloyd,214
135,Sarah Parker,75
136,Carlos Hunt,90
137,Oliver Crawford,181
138,Amber Hall,183
139,Amber Fowler,220
140,Naomi Elliott,222
141,Brooke Taylor,241
142,Amber Carter,285
143,Natalie Walker,302
144,Sienna Perkins,116
145,Eric Thompson,291
146,George Hawkins,158
147,Dainton Russell,299
148,Spike Roberts,134
149,Wilson Cameron,68
150,Natalie Myers,271
151,William Perry,4
152,Rosie Walker,5
153,Haris Hawkins,79
154,William Morris,85
155,Amy Harris,148
156,Ellia Tucker,154
157,Annabella Holmes,166
158,Jordan Gibson,259
159,Patrick Campbell,278
160,David Thompson,420
161,Savana Stevens,310
162,Adele Murray,392
163,Sophia Higgins,383
164,Tiana Hall,316
165,Brooke Davis,440
166,Melissa Smith,157
167,Amelia Clark,186
169,Elian Perry,450
